NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1305,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,74.8262,202302,22,"81,900",103,6,-,-,2020,범어로18길 22,-,직거래,-,23.02.28
1306,대구광역시 수성구 범어동,800-3,800,3,범어STX칸,124.2636,202302,22,"90,000",105,13,-,-,2010,범어천로 107,-,중개거래,대구 수성구,23.03.10
1307,대구광역시 수성구 지산동,1275,1275,0,지산한라타운,59.85,202302,21,"19,000",102,6,-,-,1991,지범로22길 9,-,중개거래,대구 수성구,23.02.22
1308,대구광역시 수성구 지산동,1208,1208,0,청구호반맨션,116.68,202302,21,"42,000",105,1,-,-,1990,용학로46길 40,-,중개거래,대구 수성구,23.03.10
1309,대구광역시 수성구 범어동,산103,103,0,장원맨션,121.34,202302,21,"102,000",102,5,-,-,1988,청호로 370,-,중개거래,대구 수성구,23.03.21
1310,대구광역시 수성구 파동,153,153,0,대자연맨션1차,84.9,202302,21,"32,000",3,2,-,-,1987,파동로 120,-,직거래,-,23.02.21
1311,대구광역시 수성구 사월동,650,650,0,시지3차서한이다음,84.95,202302,21,"41,000",104동,9,-,-,2018,달구벌대로669길 20-20,-,중개거래,대구 수성구,23.05.30
1312,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9652,202302,20,"64,000",-,10,-,-,2022,청솔로 16,20230224,중개거래,대구 수성구,-
1313,대구광역시 수성구 두산동,105,105,0,대우트럼프월드수성,84.7,202302,20,"59,500",-,20,-,-,2007,동대구로 59,-,직거래,-,-
1314,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,65.97,202302,20,"22,700",106,5,-,-,1992,지범로40길 11,-,중개거래,대구 수성구,23.04.25
1315,대구광역시 수성구 지산동,1208,1208,0,청구호반맨션,116.68,202302,20,"39,500",105,1,-,-,1990,용학로46길 40,-,중개거래,대구 수성구,23.03.14
1316,대구광역시 수성구 파동,53,53,0,수성못코오롱하늘채,84.8355,202302,20,"38,000",104,6,-,-,2013,파동로 222,-,중개거래,대구 수성구,23.04.10
1317,대구광역시 수성구 범어동,314-2,314,2,을지맨션,79.902,202302,20,"70,000",102,1,-,-,1987,달구벌대로496길 88,-,중개거래,대구 수성구,23.02.22
1318,대구광역시 수성구 신매동,570,570,0,시지삼주한라협화,59.88,202302,20,"19,500",213,11,-,-,1994,신매로 91,-,중개거래,대구 수성구,23.05.01
